,TimeStamp,Fle_Ext,Abd_Abb,Rot,Fle_Ext,Abd_Abb,Rot,Fle_Ext,Abd_Abb,Rot
8919,178.39233304207522,20.14395863827188,53.07122304567457,-32.17801510475401,51.46069396816534,-8.088271384862223,-0.6052957358601828,55.90003460483494,13.243076599709285,0.6562402580351473
8920,178.41233442485827,20.153927269294954,52.93694777257839,-32.31974686288047,52.01271139892027,-8.098139509865453,-0.5767289950185377,56.348511328330005,13.288496714267152,0.4205044032089736
8921,178.43233580764135,20.142928104625515,52.74762777911191,-32.537389540209205,52.475032699573504,-8.106133324013829,-0.5201467502562541,56.7682706038072,13.31887568144895,0.20590912734230873
8922,178.4523371904244,20.167747097024233,52.62446006583347,-32.63930881851144,52.77880436766577,-8.076632774985177,-0.42138045710917077,57.017065853251744,13.343852614320111,0.07850835733410043
8923,178.47233857320745,20.204641547558566,52.62801685715606,-32.619486038471095,52.91394832132228,-7.976825351214792,-0.44954416006831266,57.286935920720936,13.323956906612716,0.024448561835036266
8924,178.4923399559905,20.20668966162129,52.784996006175525,-32.44621396837752,52.8447765967072,-7.971466784434746,-0.4483963706731147,57.37815709883007,13.3401969807018,-0.02860292780190605
8925,178.51234133877355,20.211491076879913,52.907242850422996,-32.28337713137834,52.9562453429452,-7.934696071223411,-0.4208710082515041,57.46640455850633,13.355247890385998,-0.07959767034324422
8926,178.53234272155663,20.157814649464868,53.01279315231412,-32.16520548074301,53.157306328436256,-7.909853600473275,-0.31480509409250396,57.669122107955836,13.371912377557019,-0.18595497702977404
8927,178.55234410433968,20.18476329017287,52.84813524925792,-32.311253616918464,53.75246160605048,-7.865839748829238,-0.27886677919739966,57.966253301690195,13.3854086793846,-0.3310421256639788
8928,178.57234548712273,20.106322177198898,52.93529149329208,-32.244024368073994,54.28068595251517,-7.779176410950819,-0.26281027201794477,58.43679136320043,13.366369930234235,-0.48394642896606843
8929,178.59234686990578,20.03392229083565,52.85804298720222,-32.338880857992265,54.885384776455275,-7.753654817733196,-0.14397712698191498,58.88660472160507,13.41191190128908,-0.728871524632863
8930,178.61234825268883,19.970200639788057,52.976160347683916,-32.22933536695934,55.62301131498755,-7.758415876538264,-0.08892858741375195,59.511466771786765,13.465273196773653,-1.1155218029686094
8931,178.6323496354719,19.95271453899761,52.967379732456635,-32.23846639279548,56.57255939305994,-7.7787870397294085,-0.04247186284926089,60.29281512849863,13.535926221251644,-1.5413409930831163
8932,178.65235101825496,19.950458270682912,53.2396268011047,-31.93548759880746,57.378487980199694,-7.740721295797408,-0.028664169578795397,61.11123484186744,13.543740911243667,-1.8920465519182597
8933,178.672352401038,20.0322689071369,53.24352625531935,-31.878636600023157,58.369080217755425,-7.761881682753088,0.028819528733926725,61.957192617326484,13.614056662537665,-2.357299523921464
8934,178.69235378382106,20.063416371061216,53.149873759070154,-31.96043369518563,59.26606676109879,-7.712526406034068,0.025973971867756383,62.68378783991442,13.626512272614683,-2.6773674401840606
8935,178.7123551666041,20.069023090295495,53.15522245459014,-31.94657126221771,59.57056390346098,-7.705778132478772,0.04194281977859193,62.95263275684336,13.64774172017376,-2.825124407174223
8936,178.73235654938716,20.148398740941488,53.09031643040694,-31.970950661393864,59.45547480678277,-7.618932948151084,-0.03593115482457251,62.928677277682475,13.532888546820665,-2.6515678015368147
8937,178.75235793217024,20.187160056631445,52.85878298874973,-32.19992942295237,59.100349654653016,-7.561787688627268,-0.07105084536083797,62.47782117510528,13.486813169765165,-2.3839877033335526
8938,178.7723593149533,20.186636142149958,52.84468816503111,-32.2187300009154,58.4529830162313,-7.452449012210714,-0.14518700468240314,61.95645414931409,13.375972732477921,-1.948829899338319
8939,178.79236069773634,20.240053806462367,52.81392167357077,-32.23542661381758,57.821012797826846,-7.5129172367056976,-0.121283382509558,61.487513003154504,13.384846470218083,-1.7711087248152466
8940,178.8123620805194,20.361095914890512,52.68994171683526,-32.32049457261995,57.070450371275115,-7.481966028004584,-0.1510892561499241,60.88114364496318,13.332197748616737,-1.4391187542843626
8941,178.83236346330244,20.380909349340193,52.60566591281567,-32.40284834235905,56.56115425207243,-7.531190911159204,-0.12986601002290327,60.334914774520065,13.332722188841734,-1.2278824475051866
